EV Rank,Golfer,EV ($),Skill,SG Total,OWGR Rank,Form,Course Fit,Odds,Win %,Top 5 %,Top 10 %,Make Cut %,Season Action,Pick Rank,Reason
1,Hideki Matsuyama,322406,80.2,+1.460,20,Hot,Strong,+2800,5.02,22.0,38.5,84.0,USE,1,Elite (top 15) — surplus allows use
2,Xander Schauffele,313219,72.3,+1.580,4,Average,Strong,+1300,4.75,21.1,37.4,85.0,USE,2,Elite (top 15) — surplus allows use
3,Chris Gotterup,284408,77.6,+0.960,28,Hot,Strong,+3100,3.93,18.1,33.6,86.0,USE,3,Elite (top 15) — surplus allows use
4,Patrick Cantlay,280687,78.8,+1.290,24,Hot,Good,+2300,3.83,17.7,33.1,86.0,USE,4,Elite (top 15) — surplus allows use
5,Jason Day,236415,73.2,+0.840,49,Hot,Good,+3200,2.69,13.4,27.0,88.0,USE,5,Elite (top 15) — surplus allows use
6,Maverick McNealy,235193,73.8,+1.150,21,Hot,Good,+3000,2.66,13.2,26.9,88.0,USE,6,Elite (top 15) — surplus allows use
7,Wyndham Clark,225189,75.9,+1.200,38,Hot,Strong,+4800,2.42,12.3,25.4,88.0,USE,7,Elite (top 15) — surplus allows use
8,Harris English,220036,74.5,+0.980,11,Hot,Good,+2600,2.3,11.8,24.7,89.0,USE,8,Elite (top 15) — surplus allows use
9,Sam Stevens,191851,65.5,+0.490,48,Hot,Strong,+4800,1.69,9.2,20.7,90.0,USE,9,Elite (top 15) — surplus allows use
10,Jake Knapp,190145,60.5,+0.450,91,Hot,Strong,+4100,1.66,9.1,20.4,90.0,USE,10,
11,Taylor Pendrith,170332,62.9,+0.700,46,Good,Strong,+4000,1.27,7.4,17.6,91.0,USE,11,
12,J.J. Spaun,156394,68.9,+0.900,6,Good,Average,+2400,1.05,6.3,15.5,92.0,USE,12,Elite (top 15) — surplus allows use
13,Keegan Bradley,155208,61.0,+1.260,14,Cold,Strong,+2900,1.04,6.2,15.3,92.0,USE,13,
14,Cameron Young,149445,63.0,+1.100,18,Average,No Data,+1800,0.96,5.8,14.4,93.0,USE,14,
15,Patrick Rodgers,125618,59.4,+0.440,80,Hot,Good,+6400,0.7,4.3,10.8,94.0,USE,15,
16,Aaron Rai,122898,64.7,+1.020,23,Average,Good,+5700,0.67,4.1,10.5,95.0,USE,16,Elite (top 15) — surplus allows use
17,Adam Scott,116705,58.8,+0.360,62,Good,No Data,+4400,0.61,3.8,9.6,95.0,USE,17,
18,Sahith Theegala,113434,59.0,+0.680,104,Hot,Good,+10000,0.58,3.6,9.2,95.0,USE,18,
19,Max Homa,109367,50.1,+0.400,139,Hot,Good,+4900,0.55,3.4,8.7,95.0,USE,19,
20,Max Greyserman,106137,61.2,+0.600,32,Good,Good,+6500,0.52,3.2,8.3,95.0,USE,20,
21,Haotong Li,105312,68.7,,64,Good,No Data,+10000,0.51,3.2,8.2,95.0,USE,21,Elite (top 15) — surplus allows use
22,Christiaan Bezuidenhout,99144,60.1,+0.760,78,Good,Average,+6800,0.46,2.9,7.4,95.0,USE,22,
23,Pierceson Coody,96321,61.7,+0.500,81,Hot,Weak,+6500,0.44,2.7,7.1,95.0,USE,23,
24,Rasmus Neergaard-Petersen,93773,62.1,,52,Average,No Data,+5800,0.42,2.6,6.8,95.0,USE,24,
25,Justin Rose,93325,57.2,+0.820,10,Cold,Good,+5000,0.42,2.6,6.8,94.0,USE,25,
26,Johnny Keefer,88774,70.0,,47,Good,No Data,+14000,0.38,2.4,6.2,94.0,USE,26,Elite (top 15) — surplus allows use
27,John Parry,84519,64.4,,76,Good,No Data,+12500,0.35,2.2,5.8,94.0,USE,27,Elite (top 15) — surplus allows use
28,Garrick Higgo,84221,54.1,+1.050,59,Average,Good,+5800,0.35,2.2,5.8,94.0,USE,28,
29,Nicolai Højgaard,84042,45.9,+0.390,65,Average,Strong,,0.35,2.2,5.7,94.0,USE,29,
30,Alex Noren,83655,54.5,+0.880,17,Cold,No Data,+3700,0.35,2.2,5.7,94.0,USE,30,
31,Denny McCarthy,82063,55.7,+0.580,71,Good,No Data,+7200,0.34,2.1,5.5,94.0,USE,31,
32,Andrew Putnam,81274,55.2,-0.100,109,Hot,Strong,+25000,0.33,2.1,5.4,93.0,USE,32,
33,Sam Ryder,77834,37.2,,192,Hot,Good,,0.31,1.9,5.1,93.0,USE,33,
34,Andrew Novak,77467,57.0,+0.560,31,Average,Good,+11000,0.31,1.9,5.0,93.0,USE,34,
35,Tom Hoge,76347,58.2,+0.420,84,Hot,Good,+18000,0.3,1.9,4.9,93.0,USE,35,
